"","pert_iname","mean","n","median","sd","sRGES"
"2961","BRD-K28284219",0.0370345338023061,3,0.029279917508769,0.014125982929414,0.0370345338023061
"12012","ZM-323881",0.0370395614102082,3,0.0378503671332238,0.00357604506991431,0.0370395614102082
"1236","BRD-K07061353",0.0370458712728724,9,0.0394423893737652,0.00633925815803971,0.0370458712728724
"5588","BRD-K59939374",0.0370562596438556,4,0.0377137363942914,0.00620219278438743,0.0370562596438556
"1433","BRD-K09460252",0.037063660909034,4,0.0297921910780091,0.0184630990430195,0.037063660909034
"10802","piperidolate",0.0370658700054632,5,0.0347283576377619,0.0101450830417844,0.0370658700054632
"190","ARG-A1-22",0.0370668852715996,3,0.0337012290779281,0.0115974912691352,0.0370668852715996
"3327","BRD-K32568627",0.0370811336127123,5,0.0385849576027443,0.00888484966738547,0.0370811336127123
"10090","KU-C103672",0.0370815438862722,5,0.0361890652061242,0.00296529373134456,0.0370815438862722
"6048","BRD-K65315692",0.0370941161705871,2,0.0370941161705871,0.0177609122502081,0.0370941161705871
"11723","tosufloxacin",0.0370961946931103,2,0.0370961946931103,0.00389487177369107,0.0370961946931103
"860","BRD-K02223034",0.037103323967783,1,0.037103323967783,NA,0.037103323967783
"2174","BRD-K18970629",0.037103323967783,1,0.037103323967783,NA,0.037103323967783
"8221","BRD-K90996982",0.037103323967783,1,0.037103323967783,NA,0.037103323967783
"11568","sulfamethoxazole",0.037103323967783,1,0.037103323967783,NA,0.037103323967783
"11880","VU-0400193-3",0.037103323967783,1,0.037103323967783,NA,0.037103323967783
"4181","BRD-K43009525",0.0371055564145105,3,0.039625001928422,0.00481722064385663,0.0371055564145105
"6543","BRD-K71182391",0.0371076428365221,3,0.0367156239048572,0.00285717699414545,0.0371076428365221
"9853","herniarin",0.0371096561309464,3,0.0369573871768031,0.00723347312938058,0.0371096561309464
"189","ARG-A1-2",0.0371158021496066,3,0.0331277296100646,0.0104190156466102,0.0371158021496066
"2627","BRD-K24169646",0.037116502866874,1,0.037116502866874,NA,0.037116502866874
"4674","BRD-K48551077",0.037116502866874,1,0.037116502866874,NA,0.037116502866874
"5327","BRD-K56505861",0.037116502866874,1,0.037116502866874,NA,0.037116502866874
"9479","droperidol",0.0371185060415693,3,0.039625001928422,0.00769349486057922,0.0371185060415693
"4654","BRD-K48311056",0.0371200744702144,2,0.0371200744702144,0.0110876563060099,0.0371200744702144
"9389","dibenzepin",0.0371201268043289,4,0.0369395116809389,0.00957146992565865,0.0371201268043289
"500","BRD-A43188678",0.0371239498017364,2,0.0371239498017364,0.00731044379028925,0.0371239498017364
"728","BRD-K00801770",0.0371310397714879,1,0.0371310397714879,NA,0.0371310397714879
"2782","BRD-K26003427",0.0371310397714879,1,0.0371310397714879,NA,0.0371310397714879
"6242","BRD-K67733357",0.0371310397714879,1,0.0371310397714879,NA,0.0371310397714879
"8810","BRD-K98173387",0.0371326309046885,4,0.0376554493836353,0.00635557232146193,0.0371326309046885
