"","pert_iname","mean","n","median","sd","sRGES"
"2896","BRD-K27622376",-0.0772885367833535,4,-0.0790608337121711,0.0453074105921354,-0.0772885367833535
"238","avicin-g",-0.0772875442553593,62,-0.0665208930218323,0.0461568228127448,-0.0772875442553593
"9108","carvedilol",-0.0772824889568458,16,-0.0713508737092982,0.0463130070821403,-0.0772824889568458
"9744","GBR-13069",-0.0772735157122763,12,-0.071334703015557,0.0468511246214184,-0.0772735157122763
"1359","BRD-K08443710",-0.0772734283774734,4,-0.0764049185733652,0.0487343191320761,-0.0772734283774734
"2144","BRD-K18641148",-0.0772734283774734,4,-0.0764049185733652,0.0487343191320761,-0.0772734283774734
"1376","BRD-K08630646",-0.0772731584631387,4,-0.0732038741320524,0.0478343927667114,-0.0772731584631387
"33","6-aminochrysene",-0.0772707760049696,4,-0.0786418961977295,0.0450081963720587,-0.0772707760049696
"11419","scopoline",-0.07726902886055,2,-0.07726902886055,0.0589236742062975,-0.07726902886055
"6389","BRD-K69516039",-0.0772675019161941,10,-0.0713508737092982,0.0478398771254058,-0.0772675019161941
"2115","BRD-K18300217",-0.0772625870988474,12,-0.0790853968638279,0.0414116459642561,-0.0772625870988474
"11635","terfenadine",-0.0772605016794605,26,-0.071334703015557,0.0466118443902602,-0.0772605016794605
"8051","BRD-K88742110",-0.0772591065630305,54,-0.0787582811167055,0.0413023025882343,-0.0772591065630305
"10585","nonoxynol-9",-0.0772515622419987,12,-0.0713508737092982,0.0461970792976718,-0.0772515622419987
"9495","ecopipam",-0.0772494657755523,4,-0.0785992757388949,0.0481621824044218,-0.0772494657755523
"451","BRD-A25416824",-0.0772454607760468,6,-0.0750384067192607,0.0520227589155734,-0.0772454607760468
"9541","entecavir",-0.0772394760349837,10,-0.0713508737092982,0.048950610533601,-0.0772394760349837
"11648","tetramethylsilane",-0.0772394760349837,10,-0.0713508737092982,0.048950610533601,-0.0772394760349837
"11546","STK-661558",-0.077238783395101,12,-0.0713508737092982,0.0461973112177698,-0.077238783395101
"8602","BRD-K95582125",-0.0772368943245732,6,-0.0750037347758612,0.0466406354180274,-0.0772368943245732
"8983","BRD-M32778103",-0.0772368943245732,6,-0.0750037347758612,0.0466406354180274,-0.0772368943245732
"4317","BRD-K44510578",-0.0772324320460713,8,-0.0784086976468802,0.0443412973530778,-0.0772324320460713
"7164","BRD-K78189262",-0.0772316508009846,10,-0.0713508737092982,0.048950851294399,-0.0772316508009846
"9102","cardiogenol-c",-0.0772299026905545,2,-0.0772299026905545,0.0589236742062975,-0.0772299026905545
"2749","BRD-K25536815",-0.0772251825234882,10,-0.071334703015557,0.0489529810990085,-0.0772251825234882
"3416","BRD-K33680967",-0.0772251825234882,10,-0.071334703015557,0.0489529810990085,-0.0772251825234882
"368","BMS-387032",-0.0772237254386595,62,-0.0775827920124103,0.0415470286407255,-0.0772237254386595
"9561","ER-27319",-0.0772223996839792,18,-0.0766145401724601,0.0464558680748503,-0.0772223996839792
"10026","JNJ-7706621",-0.0772223996839792,18,-0.0766145401724601,0.0464558680748503,-0.0772223996839792
"1109","BRD-K05520923",-0.0772174040245405,14,-0.071334703015557,0.0456229243762879,-0.0772174040245405
"11144","SA-1459167",-0.0772142504855939,8,-0.0757423515316776,0.0442331237794839,-0.0772142504855939
"11170","SA-1462738",-0.0772142504855939,8,-0.0757423515316776,0.0442331237794839,-0.0772142504855939
"11240","SA-1938820",-0.0772142504855939,8,-0.0757423515316776,0.0442331237794839,-0.0772142504855939
"4741","BRD-K49477330",-0.0772134781478905,14,-0.0749772777188067,0.0431741520178575,-0.0772134781478905
"9443","disopyramide",-0.0772102360764001,10,-0.071334703015557,0.0489545922632613,-0.0772102360764001
"9164","CGP-60474",-0.0772099006271628,82,-0.0717861774186256,0.0424956826353175,-0.0772099006271628
"11132","SA-1458306",-0.077200935719661,20,-0.0783705529892952,0.0431457374767573,-0.077200935719661
"9989","isorotenone",-0.0771960349104429,16,-0.0713508737092982,0.0467478251599099,-0.0771960349104429
"6294","BRD-K68319707",-0.0771920290749797,12,-0.0778060180569405,0.0406260732723391,-0.0771920290749797
"11947","xanthohumol",-0.0771911966561412,14,-0.0713508737092982,0.0474813089061103,-0.0771911966561412
"150","amsacrine",-0.0771884830206574,30,-0.071334703015557,0.045364234946093,-0.0771884830206574
"5886","BRD-K63423329",-0.0771876051281104,16,-0.0755710447803407,0.0428256792424702,-0.0771876051281104
"4064","BRD-K41513507",-0.0771839768418806,4,-0.0771839768418806,0.0477179930746073,-0.0771839768418806
"11110","SA-1456625",-0.0771839768418806,4,-0.0771839768418806,0.0477179930746073,-0.0771839768418806
"11145","SA-1459172",-0.0771839768418806,4,-0.0771839768418806,0.0477179930746073,-0.0771839768418806
"11186","SA-1473468",-0.0771839768418806,4,-0.0771839768418806,0.0477179930746073,-0.0771839768418806
"11198","SA-1919918",-0.0771839768418806,4,-0.0771839768418806,0.0477179930746073,-0.0771839768418806
"11245","SA-1939079",-0.0771839768418806,4,-0.0771839768418806,0.0477179930746073,-0.0771839768418806
"11249","SA-1939915",-0.0771839768418806,4,-0.0771839768418806,0.0477179930746073,-0.0771839768418806
"11296","SA-424534",-0.0771839768418806,4,-0.0771839768418806,0.0477179930746073,-0.0771839768418806
"11325","SA-441350",-0.0771839768418806,4,-0.0771839768418806,0.0477179930746073,-0.0771839768418806
"11338","SA-84905",-0.0771839768418806,4,-0.0771839768418806,0.0477179930746073,-0.0771839768418806
"11345","SA-86418",-0.0771839768418806,8,-0.0771839768418806,0.0441782771092789,-0.0771839768418806
"11349","SA-89705",-0.0771839768418806,8,-0.0771839768418806,0.0441782771092789,-0.0771839768418806
"11355","SA-90471",-0.0771839768418806,4,-0.0771839768418806,0.0477179930746073,-0.0771839768418806
"11363","SA-97343",-0.0771839768418806,4,-0.0771839768418806,0.0477179930746073,-0.0771839768418806
"6022","BRD-K65085267",-0.0771766143478755,8,-0.0758018695131271,0.0455705226807081,-0.0771766143478755
"5536","BRD-K59253994",-0.0771734831965848,8,-0.0750037347758612,0.0448402164904138,-0.0771734831965848
"1402","BRD-K08982647",-0.0771646772517744,4,-0.075464301992853,0.0472799957031707,-0.0771646772517744
"11336","SA-84869",-0.0771616510772247,6,-0.0757423515316776,0.0448269056521082,-0.0771616510772247
"133","aminomethyltransferase",-0.077145446911473,12,-0.071334703015557,0.047146243679163,-0.077145446911473
"7147","BRD-K77983109",-0.077140486203654,4,-0.0697168907620747,0.0462118111908058,-0.077140486203654
"10242","lopinavir",-0.0771393118739638,14,-0.071334703015557,0.0475094139985665,-0.0771393118739638
"10530","nefazodone",-0.0771382638506103,12,-0.071334703015557,0.0470321955083935,-0.0771382638506103
"11404","SB-525334",-0.077137355721078,36,-0.075983340459115,0.0437345354596247,-0.077137355721078
"11305","SA-425500",-0.0771368950645121,22,-0.0713508737092982,0.0449268825088984,-0.0771368950645121
"7655","BRD-K84106030",-0.0771363685291356,16,-0.0740795379102513,0.0458375929214662,-0.0771363685291356
"6618","BRD-K71917235",-0.0771202991808487,12,-0.0713508737092982,0.0479827346837903,-0.0771202991808487
"5740","BRD-K61753121",-0.0771200286204602,12,-0.0765831183217653,0.0421732471675699,-0.0771200286204602
"9076","calmidazolium",-0.0771174277902796,34,-0.071334703015557,0.0455006758652335,-0.0771174277902796
"8935","BRD-K99633092",-0.0771153278571707,16,-0.0714786490383572,0.0451180416808207,-0.0771153278571707
"532","BRD-A59145032",-0.0771107265250455,16,-0.07320272556115,0.0457417165918944,-0.0771107265250455
"5820","BRD-K62716919",-0.0771102484378929,4,-0.0746868292258638,0.0508025732082904,-0.0771102484378929
"9898","hymecromone",-0.0771102484378929,4,-0.0746868292258638,0.0508025732082904,-0.0771102484378929
"9437","diphenyleneiodonium",-0.0771062171962441,18,-0.0713508737092982,0.045638411742409,-0.0771062171962441
"11118","SA-1457188",-0.0771028620178368,10,-0.0797034271737993,0.0428763130195363,-0.0771028620178368
"11237","SA-1938740",-0.0771027810336203,8,-0.0736464620823763,0.0453889254860868,-0.0771027810336203
