"","pert_iname","mean","n","median","sd","sRGES"
"2477","BRD-K22451824",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"2516","BRD-K22937431",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"2685","BRD-K24820558",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"2840","BRD-K26840329",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"2928","BRD-K27887926",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"3083","BRD-K29776425",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"3224","BRD-K31449336",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"3432","BRD-K33891131",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"3518","BRD-K35060817",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"3595","BRD-K36070105",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"3611","BRD-K36206486",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"3711","BRD-K37299375",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"3752","BRD-K37655007",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"3877","BRD-K39255658",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"4015","BRD-K40973428",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"4087","BRD-K41763142",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"4201","BRD-K43216840",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"4215","BRD-K43420611",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"4601","BRD-K47686295",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"4766","BRD-K49781215",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"4795","BRD-K50157880",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"4850","BRD-K50791850",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"4903","BRD-K51400578",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"4921","BRD-K51620275",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"4993","BRD-K52369815",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"5602","BRD-K60073229",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"5719","BRD-K61484514",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
